164917093;6;3466;E
164917094;8;3460;E
164917095;8;3468;S
164917096;5;3464;S
164917097;4;3466;S
164917098;4;3456;S
164917099;12;3457;E
164917100;6;3457;E
164917101;1;3467;E
164917102;4;3462;S
164917103;1;3467;E
164917104;1;3456;E
164917105;1;3459;S
164917106;8;3465;E
164917107;5;3461;S
164917108;12;3456;E
164917109;12;3459;S
164917110;6;3467;E
164917111;8;3466;E
164917112;8;3466;E
164917113;6;3457;E
164917114;4;3456;S
164917115;8;3459;S
164917116;4;3463;E
164917117;1;3461;E
164917118;8;3469;E
164917119;6;3463;S
164917120;6;3461;E
164917121;8;3463;S
164917122;5;3461;E
164917123;4;3461;E
164917124;8;3462;E
164917125;8;3462;E
164917126;5;3461;E
164917127;6;3465;E
164917128;1;3460;S
164917129;4;3459;E
164917130;8;3462;S
164917131;12;3468;E
164917132;5;3459;S
164917133;5;3467;S
164917134;1;3462;S
164917135;5;3456;E
164917136;5;3468;E
164917137;12;3461;S
164917138;4;3466;S
164917139;12;3460;S
164917140;6;3464;E
164917141;5;3463;S
164917142;6;3465;S
164917143;4;3467;S
164917144;5;3464;S
164917145;6;3464;E
164917146;4;3461;E
164917147;6;3467;E
164917148;4;3464;E
164917149;5;3466;E
164917150;12;3463;E
164917151;8;3462;E
164917152;12;3465;S
164917153;6;3460;S
164917154;12;3468;E
164917155;12;3461;E
164917156;8;3464;E
164917157;12;3458;E
164917158;5;3461;E
164917159;8;3466;S
164917160;6;3468;E
164917161;6;3465;E
164917162;1;3458;S
164917163;4;3469;S
164917164;6;3458;E
164917165;4;3458;S
164917166;1;3457;S
164917167;6;3462;E
164917168;6;3456;E
164917169;5;3463;E
164917170;6;3467;S
164917171;4;3465;E
164917172;12;3464;E
164917173;5;3462;E
164917174;5;3459;E
164917175;1;3457;E
164917176;1;3456;S
164917177;12;3456;S
164917178;1;3457;S
164917179;12;3459;S
164917180;5;3467;E
164917181;5;3464;E
164917182;12;3462;S
164917183;6;3457;S
164917184;1;3457;E
164917185;6;3468;S
164917186;8;3456;S
164917187;5;3457;S
164917188;6;3457;E
164917189;8;3460;E
164917190;1;3456;S
164917191;6;3456;E
164917192;8;3467;S
164917193;12;3456;E
164917194;5;3465;E
164917195;1;3468;S
164917196;8;3461;E
164917197;4;3458;S
164917198;6;3458;E
164917199;1;3462;E
164917200;6;3462;E
164917201;4;3465;E
164917202;5;3459;E
164917203;5;3465;S
164917204;4;3464;S
164917205;6;3458;E
164917206;8;3466;S
164917207;1;3457;S
164917208;12;3456;E
164917209;4;3462;S
164917210;8;3468;E
164917211;1;3461;E
164917212;12;3468;S
164917213;1;3463;S
164917214;4;3456;E
164917215;4;3463;E
164917216;6;3456;E
164917217;6;3466;E
164917218;6;3462;S
164917219;4;3462;E
164917220;12;3466;S
164917221;8;3458;S
164917222;4;3466;E
164917223;5;3465;S
164917224;5;3465;S
164917225;12;3458;E
164917226;4;3460;E
164917227;8;3464;S
164917228;4;3456;S
164917229;8;3460;S
164917230;4;3459;S
164917231;6;3465;S
164917232;4;3458;E
164917233;8;3468;S
164917234;5;3463;S
164917235;5;3467;S
164917236;4;3456;S
164917237;4;3464;E
164917238;6;3465;E
164917239;6;3464;S
164917240;4;3462;S
164917241;12;3467;S
164917242;8;3460;S
164917243;8;3456;E
164917244;8;3461;S
164917245;8;3462;S
164917246;12;3462;S
164917247;5;3459;S
164917248;8;3466;E
164917249;4;3461;S
164917250;8;3456;S
164917251;8;3467;E
164917252;5;3468;E
164917253;8;3468;E
164917254;8;3460;S
164917255;4;3464;S
164917256;12;3464;S
164917257;6;3467;S
164917258;4;3466;E
164917259;5;3464;E
164917260;6;3468;S
164917261;1;3458;E
164917262;6;3459;E
164917263;6;3460;S
164917264;1;3459;E
164917265;12;3461;S
164917266;4;3456;E
164917267;12;3468;E
164917268;8;3465;S
164917269;1;3458;S
164917270;4;3462;S
164917271;5;3463;S
164917272;5;3467;E
164917273;5;3456;S
164917274;1;3461;E
164917275;5;3457;S
164917276;4;3462;E
164917277;1;3463;S
164917278;12;3462;E
164917279;12;3460;E
164917280;1;3468;E
164917281;1;3466;S
164917282;12;3467;S
164917283;12;3469;E
164917284;6;3468;S
164917285;8;3459;S
164917286;5;3466;E
164917287;1;3468;E
164917288;1;3458;S
164917289;5;3457;S
164917290;8;3464;S
164917291;5;3458;S
164917292;8;3462;E
164917293;8;3456;E
164917294;5;3468;S
164917295;8;3458;E
164917296;4;3458;S
164917297;5;3464;E
164917298;8;3469;E
164917299;6;3469;E
164917300;6;3456;E
164917301;12;3457;E
164917302;5;3463;E
164917303;5;3461;E
164917304;4;3462;E
164917305;8;3463;E
164917306;8;3468;E
164917307;1;3458;S
164917308;12;3458;E
164917309;8;3460;E
164917310;12;3467;E
164917311;6;3460;E
164917312;12;3465;E
164917313;5;3457;S
164917314;1;3467;S
164917315;12;3461;E
164917316;12;3464;E
164917317;12;3462;S
164917318;5;3465;S
164917319;5;3462;E
164917320;1;3469;E
164917321;4;3464;E
164917322;1;3461;S
164917323;6;3461;S
164917324;1;3464;S
164917325;4;3467;E
164917326;8;3459;S
164917327;6;3467;E
164917328;6;3466;E
164917329;6;3468;E
164917330;5;3461;E
164917331;5;3466;E
164917332;8;3460;E
164917333;4;3457;E
164917334;6;3467;S
164917335;4;3467;S
164917336;5;3469;E
164917337;6;3463;E
164917338;1;3459;E
164917339;5;3462;S
164917340;5;3469;E
164917341;5;3466;E
164917342;8;3459;S
164917343;5;3465;E
164917344;5;3468;S
164917345;1;3456;S
164917346;8;3460;S
164917347;6;3465;E
164917348;4;3459;S
164917349;8;3463;S
164917350;6;3457;E
164917351;5;3464;E
164917352;5;3467;E
164917353;12;3469;S
164917354;8;3457;E
164917355;5;3464;E
164917356;4;3465;E
164917357;1;3465;S
164917358;1;3456;S
164917359;6;3459;E
164917360;4;3463;E
164917361;12;3463;S
164917362;5;3465;E
164917363;1;3465;E
164917364;1;3469;E
164917365;6;3469;S
164917366;8;3467;E
164917367;8;3461;E
164917368;1;3457;S
164917369;1;3466;E
164917370;5;3459;E
164917371;1;3467;S
164917372;4;3463;E
164917373;4;3468;S
164917374;6;3469;S
164917375;1;3465;S
164917376;4;3467;E
164917377;5;3459;S
164917378;6;3459;S
164917379;1;3461;E
164917380;5;3467;E
164917381;4;3466;S
164917382;6;3469;E
164917383;8;3464;E
164917384;5;3459;S
164917385;8;3465;E
164917386;5;3458;S
164917387;5;3463;E
164917388;12;3461;S
164917389;12;3460;S
164917390;4;3464;E
164917391;5;3461;S
164917392;12;3459;S
164917393;8;3468;S
164917394;1;3468;E
164917395;4;3465;S
164917396;8;3459;S
164917397;8;3457;S
164917398;5;3469;S
164917399;12;3459;E
164917400;8;3457;E
164917401;4;3468;S
164917402;4;3459;S
164917403;5;3459;S
164917404;8;3457;S
164917405;5;3456;S
164917406;8;3465;S
164917407;4;3460;E
164917408;8;3469;E
164917409;5;3461;S
164917410;5;3459;S
164917411;6;3468;S
164917412;12;3458;S
164917413;4;3465;S
164917414;6;3457;E
164917415;5;3463;S
164917416;1;3466;E
164917417;8;3469;S
164917418;1;3463;S
164917419;12;3468;E
164917420;12;3461;E
164917421;6;3457;S
164917422;12;3460;E
164917423;1;3456;S
164917424;12;3457;S
164917425;12;3469;S
164917426;12;3466;E
164917427;5;3467;E
164917428;12;3467;S
164917429;8;3467;S
164917430;5;3465;E
164917431;8;3459;S
164917432;12;3459;S
164917433;8;3467;E
164917434;1;3467;S
164917435;1;3460;S
164917436;5;3467;S
164917437;5;3467;E
164917438;5;3464;E
164917439;12;3458;S
164917440;12;3457;E
164917441;5;3468;S
164917442;6;3461;E
164917443;5;3468;S
164917444;1;3457;E
164917445;1;3467;S
164917446;6;3469;E
164917447;1;3465;S
164917448;12;3465;E
164917449;5;3460;E
164917450;6;3459;S
164917451;5;3466;S
164917452;5;3468;S
164917453;8;3465;E
164917454;4;3467;E
164917455;6;3468;E
164917456;5;3458;S
164917457;8;3459;E
164917458;6;3467;E
164917459;4;3465;E
164917460;5;3461;S
164917461;4;3456;E
164917462;5;3467;E
